filename,width,height,class,xmin,ymin,xmax,ymax
uncut_badge121314_2115.jpg,960,540,hand,244,1,393,124
uncut_badge121314_2115.jpg,960,540,hand,394,43,548,159
uncut_badge1516_930.jpg,960,540,hand,402,1,501,224
uncut_badge1516_930.jpg,960,540,hand,615,19,768,178
uncut_badge1516_930.jpg,960,540,hand,1,238,96,437
uncut_badge13_525.jpg,960,540,hand,265,33,421,212
uncut_badge13_525.jpg,960,540,hand,524,63,658,223
uncut_badge1516_75.jpg,960,540,hand,400,41,511,210
uncut_badge1516_75.jpg,960,540,hand,714,1,817,42
uncut_badge1516_75.jpg,960,540,hand,1,236,78,345
uncut_badge13_960.jpg,960,540,hand,244,1,395,182
uncut_badge13_960.jpg,960,540,hand,406,8,547,201
uncut_badge91011_1275.jpg,960,540,hand,372,61,486,222
uncut_badge91011_1275.jpg,960,540,hand,477,90,598,221
uncut_badge7and8_450.jpg,960,540,hand,344,127,481,247
uncut_badge7and8_450.jpg,960,540,hand,531,108,678,230
uncut_badge13_1035.jpg,960,540,hand,292,63,414,248
uncut_badge13_1035.jpg,960,540,hand,409,140,526,299
badge14_450.jpg,960,540,hand,260,43,417,215
badge14_450.jpg,960,540,hand,473,54,638,228
badge14_450.jpg,960,540,hand,258,495,413,540
uncut_badge1516_1290.jpg,960,540,hand,407,1,522,131
uncut_badge1516_1290.jpg,960,540,hand,528,1,687,144
uncut_badge1516_1290.jpg,960,540,hand,149,433,275,540
badge13_270.jpg,960,540,hand,248,15,374,175
badge13_270.jpg,960,540,hand,392,42,525,216
badge12_285.jpg,960,540,hand,394,102,519,229
badge12_285.jpg,960,540,hand,522,113,667,258
uncut_badge13_270.jpg,960,540,hand,247,2,367,172
uncut_badge13_270.jpg,960,540,hand,389,30,531,209
uncut_badge10_390.jpg,960,540,hand,324,36,496,229
uncut_badge10_390.jpg,960,540,hand,478,65,639,254
badge13_60.jpg,960,540,hand,332,98,466,226
badge13_60.jpg,960,540,hand,456,21,576,170
uncut_badge7and8_975.jpg,960,540,hand,361,97,509,228
uncut_badge7and8_975.jpg,960,540,hand,526,113,672,227
uncut_badge10_480.jpg,960,540,hand,270,1,442,88
uncut_badge10_480.jpg,960,540,hand,663,1,811,94
badge12_735.jpg,960,540,hand,348,389,465,540
badge12_735.jpg,960,540,hand,411,388,547,537
badge4_60.jpg,960,540,hand,316,96,458,203
badge4_60.jpg,960,540,hand,455,38,604,170
uncut_badge5and6_690.jpg,960,540,hand,309,92,461,237
uncut_badge5and6_690.jpg,960,540,hand,531,90,660,237
badge15_300.jpg,960,540,hand,413,7,534,141
badge15_300.jpg,960,540,hand,543,18,667,166
badge15_300.jpg,960,540,hand,51,448,208,539
badge7_285.jpg,960,540,hand,363,119,496,218
badge7_285.jpg,960,540,hand,495,101,634,245
uncut_badge13_990.jpg,960,540,hand,231,58,354,265
uncut_badge13_990.jpg,960,540,hand,459,53,575,236
uncut_badge1516_825.jpg,960,540,hand,446,1,553,143
uncut_badge1516_825.jpg,960,540,hand,553,1,681,127
uncut_badge1516_825.jpg,960,540,hand,26,401,118,515
uncut_badge121314_1950.jpg,960,540,hand,315,76,452,258
uncut_badge121314_1950.jpg,960,540,hand,500,1,664,150
uncut_badge1516_1365.jpg,960,540,hand,467,1,579,80
uncut_badge1516_1365.jpg,960,540,hand,585,1,723,169
uncut_badge1516_1365.jpg,960,540,hand,142,425,263,540
badge10_255.jpg,960,540,hand,367,112,486,225
badge10_255.jpg,960,540,hand,488,90,611,239
uncut_badge1516_1320.jpg,960,540,hand,396,1,531,143
uncut_badge1516_1320.jpg,960,540,hand,513,1,650,122
uncut_badge1516_1320.jpg,960,540,hand,151,416,276,540
badge2_330.jpg,960,540,hand,550,55,698,192
badge15_390.jpg,960,540,hand,406,30,547,142
